"MANICALAND PROVINCE :2018 HARMONISED PRESIDENTIAL ELECTION RESULTS:30 JULY  2018 
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DISTRICT,CONSTITUENCY ,LOCAL AUTHORITY,WARD NO.,POLLING STATIONS,POLLING STATION CODE,"Busha Joseph Makamba
FreeZim Congress","Chamisa Nelson
Movement for Democratic Change Alliance","Chikanga Everisto Washington
Rebuild Zimbabwe","Dzapasi Melbah
#1980 Freedom Movement Zimbabwe","Gava Mapfumo Peter
United Democratic Front","Hlabangana Kwanele
Republican Party of Zimbabwe","Kasiyamhuru Blessing
Zimbabwe Partnership for Prosperity","Khupe Thokozani
Movement for Democratic Change","Madhuku Lovemore
National Constitutional Assembly","Mangoma Elton Steers
Coalition of Democrats","manyika Noah Ngoni
Build Zimbabwe Alliance","Mapfumo-Chiguvare Tonderai Johannes Timothy
People's Progressive party Zimbabwe","Mariyacha Violet
United Democracy Movement","Mhambi-Hove Divine
national Alliance of Patriotic and Democratic Republicans","Mnangagwa Emmerson Dambudzo
Zimbabwe African National Union Patriotic Front","Moyo Nkosana Donald
Alliance for the People's Agenda","Mteki Bryn Taurai
Independent","Mugadza Willard Tawonezvi
Bethel Christian Party","Mujuru Joice Teurai Ropa
People's Rainbow Coalition","Munyanduri Tendai Peter
New Patriotic Front","Mutinhiri Ambrose
National Patriotic Front","Shumba Kuzozvirava Daniel
United Democratic Alliance","Wilson Harry Peter
Democratic Opposition Party",Total Votes Rejected ,Ballot Paper Unaccounted for,Total Votes Cast,Total Valid Votes Cast
,,,,4 POLLING STATIONS,WARD TOTAL,6,697,4,0,2,3,6,13,2,0,0,0,0,1,719,8,0,2,6,2,2,0,2,21,0,1496,1475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAKONI WEST CONSTITUENCY TOTALS,,,82,7548,56,14,14,48,41,117,15,14,5,7,2,11,7321,77,13,29,28,14,21,7,13,218,0,15715,15497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Makoni RDC,11,Bexhill Farm Tent,4200MKI1101,0,99,1,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0,0,0,0,0,2,0,204,202
Makoni,Makoni Central,Makoni RDC,11,Chief Chiduku Farm Tent,4200MKI1102,0,38,0,0,0,1,0,0,0,0,1,0,0,0,209,1,0,0,0,0,0,0,0,1,0,251,250
Makoni,Makoni Central,Makoni RDC,11,Chitora Primary School,4200MKI1103,0,57,0,0,0,0,1,0,0,0,1,0,0,0,279,0,0,0,1,0,0,0,0,6,0,345,339
Makoni,Makoni Central,Makoni RDC,11,Clifton Farm (Mashumba) Tent,4200MKI1104,1,33,0,0,0,0,0,2,2,0,0,0,0,0,186,0,0,0,1,0,0,1,0,0,0,226,226
Makoni,Makoni Central,Makoni RDC,11,Manda Primary School,4200MKI1105,0,29,0,0,0,0,0,1,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,6,0,174,168
Makoni,Makoni Central,Makoni RDC,11,Mangundya Farm Tent,4200MKI1106,0,78,0,0,0,0,0,2,0,0,0,0,0,0,72,1,0,0,0,0,1,0,0,7,0,161,154
Makoni,Makoni Central,Makoni RDC,11,Pamusasa Tent,4200MKI1107,2,26,0,0,0,0,0,0,0,0,0,0,0,0,193,0,0,0,0,0,0,0,1,6,0,228,222
Makoni,Makoni Central,Makoni RDC,11,Woodlands Primary School,4200MKI1108,2,130,1,0,0,0,0,4,0,0,0,1,1,1,307,1,0,1,0,0,0,0,0,2,0,451,449
Makoni,Makoni Central,Makoni RDC,11,Zimati Primary School,4200MKI1109,1,52,1,0,1,0,0,2,0,0,0,0,0,0,91,1,0,0,0,0,0,0,0,1,0,150,149
,,,, 9 POLLING STATIONS,WARD TOTAL,6,542,3,0,1,1,1,11,2,0,2,1,1,1,1576,5,0,1,2,0,1,1,1,31,0,2190,2159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Makoni RDC,19,Chirisa Homestead Tent,4200MKI1901,0,48,0,0,1,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,1,0,89,88
Makoni,Makoni Central,Makoni RDC,19,Mukuwapasi Primary School,4200MKI1902,4,239,0,0,2,1,0,15,0,0,0,0,0,0,157,3,0,0,1,0,0,1,0,7,0,430,423
Makoni,Makoni Central,Makoni RDC,19,Nyabadza Business Centre Tent,4200MKI1903,4,222,0,1,1,0,1,3,0,1,0,0,0,2,104,3,0,1,0,0,0,0,0,5,0,348,343
Makoni,Makoni Central,Makoni RDC,19,Sangano Clinic Tent,4200MKI1904,1,130,0,0,1,0,0,5,0,0,0,0,0,0,97,3,0,0,0,1,0,0,0,3,0,241,238
Makoni,Makoni Central,Makoni RDC,19,St Faith Mission Primary School,4200MKI1905,1,186,1,1,0,1,0,1,0,1,0,0,0,0,68,1,0,0,0,1,0,0,0,4,0,266,262
Makoni,Makoni Central,Makoni RDC,19,St. Lukes Primary School,4200MKI1906,3,175,0,0,0,0,0,2,2,1,0,0,0,1,178,3,0,0,0,0,0,1,0,3,0,369,366
,,,, 6 POLLING STATIONS,WARD TOTAL,13,1000,1,2,5,2,1,26,2,3,0,0,0,3,643,13,0,1,1,2,0,2,0,23,0,1743,1720
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Makoni RDC,20,Epiphany Primary School,4200MKI2001,1,129,1,0,1,1,0,1,0,0,0,0,0,0,67,0,0,1,0,1,0,1,0,3,0,207,204
Makoni,Makoni Central,Makoni RDC,20,Gwindingwi Secondary School,4200MKI2002,0,11,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,15,15
Makoni,Makoni Central,Makoni RDC,20,Madziwa Primary School,4200MKI2003,1,136,1,0,1,1,0,1,0,0,0,0,1,0,77,1,0,0,0,1,0,1,0,5,0,227,222
Makoni,Makoni Central,Makoni RDC,20,Mangunda Primary School,4200MKI2004,3,170,1,0,0,0,1,5,0,1,0,0,0,0,210,4,0,0,0,0,1,0,0,7,0,403,396
Makoni,Makoni Central,Makoni RDC,20,Mawango Primary School,4200MKI2005,5,171,1,0,0,0,1,1,0,0,1,0,0,1,54,3,0,1,0,0,0,0,1,5,0,245,240
Makoni,Makoni Central,Makoni RDC,20,Nyahukwe Primary School,4200MKI2006,1,344,0,1,0,4,1,11,0,1,0,0,0,0,416,3,0,1,1,2,2,1,3,16,0,808,792
Makoni,Makoni Central,Makoni RDC,20,Nyakwima Primary School,4200MKI2007,1,214,2,0,2,0,0,7,0,0,0,0,2,0,70,6,0,2,0,1,0,0,0,9,0,316,307
,,,, 7 POLLING STATIONS,WARD TOTAL,12,1175,6,1,4,6,3,26,0,2,1,0,3,1,898,17,0,5,1,5,3,3,4,45,0,2221,2176
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Makoni RDC,21,Bembwe Secondary School,4200MKI2101,1,170,1,0,0,2,0,8,1,0,0,0,0,0,108,3,0,0,0,0,0,1,1,7,0,303,296
Makoni,Makoni Central,Makoni RDC,21,Chikunguru Primary School,4200MKI2102,3,226,1,1,1,3,0,11,0,1,1,1,1,1,293,4,2,0,1,3,1,1,2,13,0,571,558
Makoni,Makoni Central,Makoni RDC,21,Ndingi Primary School,4200MKI2103,1,142,0,0,0,0,1,5,0,0,0,0,0,0,77,4,0,0,0,0,1,0,0,3,0,234,231
Makoni,Makoni Central,Makoni RDC,21,Ringanai Primary School,4200MKI2104,1,81,0,0,1,0,0,1,2,0,0,0,0,0,40,4,0,1,0,0,1,0,0,4,0,136,132
,,,, 4 POLLING STATIONS,WARD TOTAL,6,619,2,1,2,5,1,25,3,1,1,1,1,1,518,15,2,1,1,3,3,2,3,27,0,1244,1217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Makoni RDC,22,Gambe Business Centre Tent,4200MKI2201,2,82,2,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,1,2,0,141,139
Makoni,Makoni Central,Makoni RDC,22,Haisoswi Primary School,4200MKI2202,1,138,0,0,0,0,0,3,0,0,0,0,0,1,88,2,0,3,0,0,0,0,0,4,0,240,236
Makoni,Makoni Central,Makoni RDC,22,Ishe Madziwa Homestead Tent,4200MKI2203,2,75,1,0,1,1,0,1,0,0,0,0,0,0,65,2,0,0,0,0,0,0,1,1,0,150,149
Makoni,Makoni Central,Makoni RDC,22,Rugoyi Primary School,4200MKI2204,1,197,2,0,0,0,0,6,2,0,0,0,0,0,76,2,0,3,0,0,0,1,0,2,0,292,290
Makoni,Makoni Central,Makoni RDC,22,Rugoyi DDF Rest Camp,4200MKI2205,0,91,0,0,0,0,0,0,1,0,0,0,0,0,41,0,0,1,1,0,0,0,1,1,0,137,136
Makoni,Makoni Central,Makoni RDC,22,St. Killians Primary School,4200MKI2206,0,235,0,0,0,0,0,7,0,0,0,0,0,0,73,3,0,1,1,0,0,0,0,3,0,323,320
Makoni,Makoni Central,Makoni RDC,22,Svikiro Primary School,4200MKI2207,1,87,0,0,0,0,0,2,0,0,0,0,0,0,15,2,0,1,0,0,0,0,0,2,0,110,108
,,,, 7 POLLING STATIONS,WARD TOTAL,7,905,5,0,1,1,0,19,3,0,0,0,0,1,410,11,0,9,2,0,0,1,3,15,0,1393,1378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Makoni RDC,38,Alpha (Damburamuchato) Tent,4200MKI3801,0,105,1,0,0,0,1,2,0,0,0,0,0,1,254,1,1,0,0,0,0,0,0,7,0,373,366
Makoni,Makoni Central,Makoni RDC,38,Crofton Farm Tent,4200MKI3802,0,63,1,0,0,0,0,1,0,0,0,0,0,1,170,1,0,1,0,0,0,1,0,3,0,242,239
Makoni,Makoni Central,Makoni RDC,38,Lawrencedale Primary School,4200MKI3803,2,168,2,0,0,0,1,3,1,0,0,0,0,0,462,2,1,2,0,0,0,1,0,4,0,649,645
Makoni,Makoni Central,Makoni RDC,38,Moodiesville Primary School,4200MKI3804,1,50,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,1,0,0,0,0,3,0,213,210
Makoni,Makoni Central,Makoni RDC,38,St. Joseph Primary School,4200MKI3805,0,39,1,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,2,0,100,98
,,,, 5 POLLING STATIONS,WARD TOTAL,3,425,5,0,0,0,2,6,1,0,0,0,0,2,1102,4,2,3,1,0,0,2,0,19,0,1577,1558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,1,Vengere Hall,4201RTC0101,1,518,0,0,0,0,0,0,0,1,0,0,0,0,181,1,0,1,0,0,0,0,0,4,0,707,703
Makoni,Makoni Central,Rusape Town Council,1,ZBS Shopping Centre Tent A,4201RTC0102 A,0,278,1,0,0,0,0,1,0,0,0,0,0,0,141,1,0,0,0,0,0,0,0,3,0,425,422
Makoni,Makoni Central,Rusape Town Council,1,ZBS Shopping Centre Tent B,4201RTC0102 B,2,290,1,0,0,0,0,1,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,20,0,428,408
,,,, 3 POLLING STATIONS,WARD TOTAL,3,1086,2,0,0,0,0,2,0,1,0,0,0,0,436,2,0,1,0,0,0,0,0,27,0,1560,1533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,2,G. Creche,4201RTC0201,1,374,1,0,0,0,0,1,1,0,0,0,0,0,216,0,0,2,1,0,0,0,0,7,0,604,597
,,,, 1 POLLING STATIONS,WARD TOTAL,1,374,1,0,0,0,0,1,1,0,0,0,0,0,216,0,0,2,1,0,0,0,0,7,0,604,597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,3,Vengere Primary School,4201RTC0301,1,415,1,0,0,0,2,4,0,0,0,0,0,0,170,0,0,0,0,0,1,0,0,0,0,594,594
,,,, 1 POLLING STATIONS,WARD TOTAL,1,415,1,0,0,0,2,4,0,0,0,0,0,0,170,0,0,0,0,0,1,0,0,0,0,594,594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,4,Kuture Business Centre Tent A,4201RTC0401 A,2,366,2,0,0,0,2,1,0,2,0,0,0,0,148,0,0,0,1,0,0,0,1,7,0,532,525
Makoni,Makoni Central,Rusape Town Council,4,Kuture Business Centre Tent B,4201RTC0401 B,2,384,2,1,0,0,2,4,0,1,0,0,0,0,127,0,0,0,0,0,1,0,0,2,0,526,524
,,,, 2 POLLING STATIONS,WARD TOTAL,4,750,4,1,0,0,4,5,0,3,0,0,0,0,275,0,0,0,1,0,1,0,1,9,0,1058,1049
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,5,Rujeko Primary School,4201RTC0501,1,579,1,0,0,1,0,3,0,0,0,0,0,0,210,2,0,1,0,0,2,0,1,5,0,806,801
,,,, 1 POLLING STATIONS,WARD TOTAL,1,579,1,0,0,1,0,3,0,0,0,0,0,0,210,2,0,1,0,0,2,0,1,5,0,806,801
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,6,NE Park Tent A,4201RTC0601 A,0,504,0,0,0,0,0,2,1,0,0,0,0,0,196,1,0,0,0,0,0,0,0,9,0,713,704
Makoni,Makoni Central,Rusape Town Council,6,NE Park Tent B,4201RTC0601 B,1,510,1,0,0,0,0,3,1,0,0,0,0,0,149,0,0,0,0,0,0,0,0,11,0,676,665
Makoni,Makoni Central,Rusape Town Council,6,UVE Telecel Booster Tent,4201RTC0602,2,554,1,0,0,0,0,2,1,0,0,0,0,0,182,1,0,1,0,0,0,0,1,3,0,748,745
,,,, 3 POLLING STATIONS,WARD TOTAL,3,1568,2,0,0,0,0,7,3,0,0,0,0,0,527,2,0,1,0,0,0,0,1,23,0,2137,2114
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,7,Old District Registrar's Office Tent,4201RTC0701,1,295,0,0,0,0,0,3,0,0,0,0,0,0,168,0,0,0,1,0,0,0,0,5,0,473,468
,,,, 1 POLLING STATIONS,WARD TOTAL,1,295,0,0,0,0,0,3,0,0,0,0,0,0,168,0,0,0,1,0,0,0,0,5,0,473,468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,8,John Cowie Primary School,4201RTC0801,0,262,1,0,0,0,0,3,0,0,0,0,0,0,73,0,0,0,1,0,0,0,0,1,0,341,340
Makoni,Makoni Central,Rusape Town Council,8,Mabvazuva Primary School A,4201RTC0803 A,3,549,0,0,0,2,0,4,0,1,0,0,1,0,179,1,0,0,1,0,0,0,0,7,0,748,741
Makoni,Makoni Central,Rusape Town Council,8,Mabvazuva Primary School B,4201RTC0803 B,1,530,1,0,0,0,0,1,0,0,0,0,1,0,192,0,0,1,0,0,0,0,1,4,0,732,728
,,,, 3 POLLING STATIONS,WARD TOTAL,4,1341,2,0,0,2,0,8,0,1,0,0,2,0,444,1,0,1,2,0,0,0,1,12,0,1821,1809
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,9,Magamba Business Centre Tent A,4201RTC0901 A,0,395,0,0,0,0,0,1,0,0,0,0,1,0,132,0,0,0,0,0,0,0,0,6,0,535,529
Makoni,Makoni Central,Rusape Town Council,9,Magamba Business Centre Tent B,4201RTC0901 B,0,380,0,0,0,2,0,0,0,0,0,0,0,0,110,2,0,0,1,0,0,0,1,4,0,500,496
Makoni,Makoni Central,Rusape Town Council,9,Magamba Extension Business Centre Tent,4201RTC0902,2,566,0,0,1,0,0,3,0,0,1,0,0,0,139,1,0,1,0,0,0,0,0,7,0,721,714
,,,, 3 POLLING STATIONS,WARD TOTAL,2,1341,0,0,1,2,0,4,0,0,1,0,1,0,381,3,0,1,1,0,0,0,1,17,0,1756,1739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Makoni Central,Rusape Town Council,10,Dombo Building Tent,4201RTC1001,0,482,0,0,0,0,0,2,1,0,0,0,0,0,182,3,0,0,3,0,0,0,0,4,0,677,673
Makoni,Makoni Central,Rusape Town Council,10,Methodist Church Tent,4201RTC1002,2,425,0,0,1,0,0,2,0,0,0,0,0,0,123,1,0,1,0,0,0,1,0,5,0,561,556
Makoni,Makoni Central,Rusape Town Council,10,ZAOGA Church (Crocodile) Tent,4201RTC1003,0,133,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,161,161
,,,, 3 POLLING STATIONS,WARD TOTAL,2,1040,0,0,1,0,0,4,1,0,0,0,0,0,333,4,0,1,3,0,0,1,0,9,0,1399,1390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,MAKONI CENTRAL CONSTITUENCY TOTALS,,,69,13455,35,5,15,20,14,154,16,11,5,2,8,9,8307,79,4,28,17,10,11,12,16,274,0,22576,22302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,6,Harare/Chiendambuya bus Terminus Tent,4200MKI0601,0,143,1,0,0,0,0,2,0,0,0,0,0,0,295,0,0,0,7,0,0,0,0,3,0,451,448
Makoni,Headlands,Makoni RDC,6,Headlands Kop Tent,4200MKI0602,2,67,2,1,0,0,0,0,0,1,0,0,0,0,356,1,0,0,2,1,0,1,0,2,0,436,434
Makoni,Headlands,Makoni RDC,6,Longfields farm Tent,4200MKI0603,0,53,1,0,0,0,0,0,0,2,0,0,0,0,305,0,0,0,1,0,0,0,0,2,0,364,362
Makoni,Headlands,Makoni RDC,6,Namie Farm Tent,4200MKI0604,5,82,4,0,0,3,1,1,0,0,0,0,0,1,503,1,5,0,0,0,1,0,1,9,0,617,608
Makoni,Headlands,Makoni RDC,6,St. Benedict Mission High School,4200MKI0605,0,39,0,0,0,0,0,0,0,1,0,0,0,0,66,0,1,0,1,0,0,0,0,1,0,109,108
Makoni,Headlands,Makoni RDC,6,Vaalkop Farm (Mambudzi) Tent,4200MKI0606,0,36,0,0,0,0,0,0,0,0,0,0,0,0,159,0,1,0,0,1,1,0,0,1,0,199,198
Makoni,Headlands,Makoni RDC,6,Wensleydale Training Centre,4200MKI0607,3,50,0,0,0,0,0,2,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,4,0,338,334
Makoni,Headlands,Makoni RDC,6,Yorkshire Primary School A,4200MKI0608 A,3,147,2,0,1,1,1,7,0,0,2,0,0,0,421,3,0,0,3,0,0,2,1,6,0,600,594
Makoni,Headlands,Makoni RDC,6,Yorkshire Primary School B,4200MKI0608 B,4,168,1,0,0,0,1,5,0,0,0,0,0,1,397,2,1,0,2,0,0,0,0,12,0,594,582
,,,,4 POLLING STATIONS,WARD TOTAL,17,785,11,1,1,4,3,17,0,4,2,0,0,2,2781,7,8,0,16,2,2,3,2,40,0,3708,3668
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,7,Chinyudze Primary School,4200MKI0701,2,223,2,2,0,1,0,5,0,1,0,0,0,1,255,1,0,0,1,1,2,0,2,5,0,504,499
Makoni,Headlands,Makoni RDC,7,Kubatana Primary School,4200MKI0702,5,167,1,1,1,2,0,4,1,1,0,0,0,2,315,3,0,1,3,0,1,0,0,5,0,513,508
Makoni,Headlands,Makoni RDC,7,Mugadza Primary School,4200MKI0703,1,178,2,0,0,1,1,2,0,4,0,1,1,1,344,1,0,0,0,0,0,1,0,4,0,542,538
Makoni,Headlands,Makoni RDC,7,Nyamukamani Primary School,4200MKI0704,2,177,3,0,1,2,1,5,0,0,0,0,0,0,375,1,0,2,1,0,0,0,1,6,0,577,571
Makoni,Headlands,Makoni RDC,7,Pfumoiguru Primary School,4200MKI0705,9,241,1,0,2,3,2,8,0,1,1,0,1,0,342,3,0,0,1,0,1,0,1,9,0,626,617
Makoni,Headlands,Makoni RDC,7,Sherenje Primary School,4200MKI0706,7,141,1,0,0,0,2,6,1,3,0,0,2,0,249,1,0,0,3,2,0,1,0,4,0,423,419
Makoni,Headlands,Makoni RDC,7,Tafadzwa Primary School,4200MKI0707,2,206,0,0,0,3,1,3,0,3,0,0,0,0,344,1,0,1,1,0,1,0,0,5,0,571,566
,,,,7 POLLING STATIONS,WARD TOTAL,28,1333,10,3,4,12,7,33,2,13,1,1,4,4,2224,11,0,4,10,3,5,2,4,38,0,3756,3718
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,8,Adlamont Training Centre Tent,4200MKI0801,1,165,1,0,0,0,0,1,0,3,0,0,0,0,257,4,0,0,0,0,0,0,0,5,0,437,432
Makoni,Headlands,Makoni RDC,8,Bamba Primary School,4200MKI0803,1,74,1,1,0,2,0,0,0,0,0,0,0,0,191,1,0,0,0,0,0,0,0,1,0,272,271
Makoni,Headlands,Makoni RDC,8,Chimwanzou Primary School,4200MKI0804,0,44,0,0,0,1,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,1,0,161,160
Makoni,Headlands,Makoni RDC,8,Chiropa Primary School,4200MKI0805,4,200,2,0,0,2,1,5,0,0,1,1,0,0,406,0,0,1,1,0,0,0,2,13,0,639,626
Makoni,Headlands,Makoni RDC,8,Chiwome Primary School,4200MKI0806,1,111,1,0,0,2,0,2,0,0,0,0,0,0,287,1,0,0,2,0,0,0,0,1,0,408,407
Makoni,Headlands,Makoni RDC,8,Inyati Mine Business Centre Tent,4200MKI0807,0,47,1,0,0,0,0,1,0,0,0,0,1,0,83,2,0,0,2,0,1,0,1,0,0,139,139
Makoni,Headlands,Makoni RDC,8,Inyati Primary School,4200MKI0808,2,164,0,0,1,0,0,2,0,0,0,0,0,0,112,1,0,0,2,0,1,0,1,6,0,292,286
Makoni,Headlands,Makoni RDC,8,Riversdale Farm Tent,4200MKI0809,1,110,0,0,0,0,0,3,0,0,0,0,0,0,105,0,0,1,1,0,0,0,0,6,0,227,221
Makoni,Headlands,Makoni RDC,8,Ruura Primary School,4200MKI0810,3,155,0,0,0,0,0,1,1,0,0,0,0,0,298,1,0,0,0,1,0,0,0,4,0,464,460
Makoni,Headlands,Makoni RDC,8,St Marys Clinic Site Tent,4200MKI0811,2,131,1,0,1,2,1,2,0,0,0,0,0,1,406,0,1,1,0,0,0,0,0,3,0,552,549
Makoni,Headlands,Makoni RDC,8,Arnoldine Primary School,4200MKI0812,0,245,0,1,1,0,1,6,0,0,0,0,0,0,320,1,0,0,0,2,0,0,0,4,0,581,577
,,,,11 POLLING STATIONS,WARD TOTAL,15,1446,7,2,3,9,3,23,1,3,1,1,1,1,2580,11,1,3,8,3,2,0,4,44,0,4172,4128
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,10,Bingaguru Primary School,4200MKI1001,3,278,1,1,0,1,1,7,0,0,0,0,0,0,361,0,0,2,1,0,0,2,0,10,0,668,658
Makoni,Headlands,Makoni RDC,10,Chitungwiza Primary School,4200MKI1002,3,64,0,1,0,0,2,1,0,0,0,0,0,0,264,0,0,1,0,0,0,0,0,3,0,339,336
Makoni,Headlands,Makoni RDC,10,Domborembizi Primary School,4200MKI1003,1,239,0,0,0,1,1,2,0,1,0,0,0,0,176,2,0,2,0,0,1,0,2,9,,437,428
Makoni,Headlands,Makoni RDC,10,Dumbamwe Secondary School,4200MKI1004,1,85,0,0,0,1,0,0,1,0,0,0,0,0,34,1,0,0,0,0,0,0,0,7,0,130,123
Makoni,Headlands,Makoni RDC,10,Kriste Mambo High School,4200MKI1005,0,46,0,0,0,0,0,1,0,0,0,0,0,1,40,0,0,0,0,0,0,0,0,1,0,89,88
Makoni,Headlands,Makoni RDC,10,Nemaire Primary School,4200MKI1006,0,265,1,0,0,1,1,7,0,2,1,0,0,1,184,3,0,0,1,1,0,0,0,8,0,476,468
Makoni,Headlands,Makoni RDC,10,Village 49 ECD Centre Tent,4200MKI1007,1,105,1,1,0,0,0,0,0,0,0,0,0,0,178,1,0,0,1,0,0,0,0,1,0,289,288
,,,,7 POLLING STATIONS,WARD TOTAL,9,1082,3,3,0,4,5,18,1,3,1,0,0,2,1237,7,0,5,3,1,1,2,2,39,0,2428,2389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,12,Cheneka Primary School,4200MKI1201,3,360,5,0,0,1,3,12,0,4,0,0,1,1,125,2,0,1,1,1,3,0,1,13,0,537,524
Makoni,Headlands,Makoni RDC,12,Chironga Primary School,4200MKI1202,1,312,4,0,0,1,0,9,0,2,5,0,0,0,275,4,0,1,0,1,1,2,0,5,0,623,618
Makoni,Headlands,Makoni RDC,12,Chitsva Primary School,4200MKI1203,1,309,3,1,0,1,0,9,1,0,0,0,0,0,214,3,0,3,0,1,0,1,3,11,0,561,550
Makoni,Headlands,Makoni RDC,12,Chiundu High School,4200MKI1204,1,535,2,0,1,2,0,20,0,1,0,0,1,0,169,4,0,0,1,1,1,0,0,16,0,755,739
Makoni,Headlands,Makoni RDC,12,Domboreshato Primary School,4200MKI1205,2,131,0,0,0,1,0,5,0,1,0,0,0,1,58,2,0,1,1,0,0,0,0,2,0,205,203
Makoni,Headlands,Makoni RDC,12,Mubvurungwa Primary School,4200MKI1206,1,142,1,0,0,1,0,2,0,2,0,0,0,0,139,2,0,0,1,0,0,0,0,5,0,296,291
Makoni,Headlands,Makoni RDC,12,Mucheke Primary School,4200MKI1207,3,72,1,0,1,2,0,2,0,0,0,0,0,1,119,1,0,1,0,0,0,0,0,4,0,207,203
Makoni,Headlands,Makoni RDC,12,Mupoperi Primary School,4200MKI1208,3,183,1,0,0,1,0,10,0,2,1,0,0,0,53,8,1,0,0,1,0,0,0,1,0,265,264
Makoni,Headlands,Makoni RDC,12,Shangwe Primary School,4200MKI1209,4,190,0,0,0,1,0,5,0,0,0,0,0,1,189,0,0,0,0,0,1,0,0,10,0,401,391
,,,,9 POLLING STATIONS,WARD TOTAL,19,2234,17,1,2,11,3,74,1,12,6,0,2,4,1341,26,1,7,4,5,6,3,4,67,0,3850,3783
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,32,Headlands Business Centre Tent,4200MKI3201,0,223,0,0,0,0,0,2,0,2,0,0,0,0,152,0,0,0,2,0,0,0,0,6,0,387,381
Makoni,Headlands,Makoni RDC,32,Mt. Carmel High School,4200MKI3202,2,219,1,0,0,0,0,2,1,7,0,0,0,0,151,1,1,0,0,0,1,0,0,4,0,390,386
,,,,2 POLLING STATIONS,WARD TOTAL,2,442,1,0,0,0,0,4,1,9,0,0,0,0,303,1,1,0,2,0,1,0,0,10,0,777,767
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Makoni,Headlands,Makoni RDC,34,Maturi Business Centre Tent,4200MKI3401,3,128,2,1,2,0,1,0,1,0,0,0,0,0,675,2,0,0,3,0,0,1,2,7,0,828,821
Makoni,Headlands,Makoni RDC,34,Nehumba Primary School,4200MKI3402,0,134,2,1,0,1,0,2,0,0,1,0,0,1,413,2,1,0,1,1,1,0,0,9,0,570,561
Makoni,Headlands,Makoni RDC,34,Zambara Primary School,4200MKI3403,3,208,1,0,0,1,1,2,1,1,0,1,0,0,513,4,1,0,0,0,0,1,0,12,0,750,738
,,,,5 POLLING STATIONS,WARD TOTAL,6,470,5,2,2,2,2,4,2,1,1,1,0,1,1601,8,2,0,4,1,1,2,2,28,0,2148,2120
